Data,Technology,Individual,Chr,MeanCov,RawRealigned,WhDownsample,Merged,RndDownsample,Epsilon,Alpha,SwErrRatePerc,MecScore,TimeSecs,MaxMemMB
sim,pacbio,child,chr21,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.01,54990,22.92,10.89453125
ashk,pacbio,child,chr21,60,raw,20,no_merged,no_downs,0.05,0.001,0.62,83354,133.2,54.46875
sim,pacbio,child,chr21,20,realigned,20,no_merged,no_downs,0.05,0.001,0.02,82470,127.18,50.234375
ashk,pacbio,child,chr1,5,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.89,124710,1.14,2.26953125
ashk,pacbio,child,chr1,40,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.24,338220,38.88,8.71484375
sim,pacbio,child,chr21,5,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.17,24210,0.28,2.04296875
sim,pacbio,child,chr1,10,realigned,N,no_merged,downs_s1_m20,0.05,0.1,0.14,291780,3.44,2.83203125
ashk,pacbio,child,chr1,5,realigned,20,no_merged,no_downs,0.05,0.01,0.65,105480,1.58,2.34375
ashk,pacbio,child,chr21,60,raw,N,no_merged,downs_s1_m20,0.05,0.1,0.84,147781,88.64,77.98046875
ashk,pacbio,child,chr1,5,realigned,15,no_merged,no_downs,0.05,0.0001,0.65,105210,3.5,3.078125
sim,pacbio,child,chr1,5,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.46,120150,2.69,4.1953125
ashk,pacbio,child,chr21,10,raw,25,no_merged,no_downs,0.05,0.0001,1.68,62670,74.03999999999999,79.28515625
sim,pacbio,child,chr1,40,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.22,477810,420.87,47.9921875
sim,pacbio,child,chr21,25,raw,20,no_merged,no_downs,0.05,0.1,0.29,133666,33.98,31.70703125
sim,pacbio,child,chr1,15,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.74,409062,25.77,8.28125
sim,pacbio,child,chr1,20,raw,20,no_merged,no_downs,0.05,0.001,0.34,460167,468.69,49.85546875
ashk,pacbio,child,chr1,40,realigned,20,no_merged,no_downs,0.05,0.01,0.24,384600,188.9,32.7109375
sim,pacbio,child,chr1,15,raw,25,no_merged,no_downs,0.05,0.001,0.45,416509,567.65,92.21484375
sim,pacbio,child,chr21,10,raw,N,no_merged,downs_s1_m20,0.05,0.1,0.84,97145,9.84,18.87890625
sim,pacbio,child,chr21,60,raw,N,no_merged,downs_s1_m15,0.05,0.01,0.83,90790,5.19,4.39453125
ashk,pacbio,child,chr21,15,realigned,25,no_merged,no_downs,0.05,0.01,0.55,70950,79.62,64.57421875
ashk,pacbio,child,chr1,40,raw,N,no_merged,downs_s1_m15,0.05,0.01,0.78,460263,28.64,8.70703125
ashk,pacbio,child,chr1,10,raw,N,no_merged,downs_s1_m15,0.05,0.01,1.78,308926,8.65,3.5625
ashk,pacbio,child,chr21,30,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,2.15,136538,4.37,5.25390625
ashk,pacbio,child,chr21,50,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.57,63450,60.38,21.65625
sim,pacbio,child,chr1,25,realigned,20,no_merged,no_downs,0.05,0.001,0.04,437250,652.91,68.10546875
ashk,pacbio,child,chr1,15,raw,N,no_merged,downs_s1_m15,0.05,0.001,1.05,349590,47.72,7.71875
ashk,pacbio,child,chr1,15,realigned,N,no_merged,downs_s1_m20,0.05,0.1,0.25,351240,12.86,5.27734375
ashk,pacbio,child,chr1,20,raw,N,no_merged,downs_s1_m15,0.05,0.0001,0.92,363011,145.79,14.7890625
ashk,pacbio,child,chr21,60,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.57,65670,64.07,21.953125
ashk,pacbio,child,chr1,15,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,1.14,349306,29.14,5.82421875
ashk,pacbio,child,chr21,30,raw,N,no_merged,downs_s1_m20,0.05,0.1,0.91,141674,67.64,36.05078125
ashk,pacbio,child,chr1,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.25,317010,252.81,52.88671875
ashk,pacbio,child,chr1,10,realigned,N,no_merged,downs_s1_m15,0.05,0.001,0.31,209190,25.44,6.0234375
sim,pacbio,child,chr1,40,raw,15,no_merged,no_downs,0.05,0.0001,0.35,344178,132.97,23.609375
sim,pacbio,child,chr21,10,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.59,85150,9.1,14.26171875
sim,pacbio,child,chr21,50,raw,15,no_merged,no_downs,0.05,0.01,0.53,78787,3.49,4.515625
ashk,pacbio,child,chr1,10,raw,25,no_merged,no_downs,0.05,0.01,1.72,324530,19.3,12.39453125
sim,pacbio,child,chr1,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,1.04,238773,10.31,3.53125
ashk,pacbio,child,chr1,50,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.26,374340,10.06,3.59765625
ashk,pacbio,child,chr1,60,raw,N,no_merged,downs_s1_m20,0.05,0.1,0.70,758147,416.09000000000003,73.8203125
sim,pacbio,child,chr21,5,raw,N,no_merged,downs_s1_m15,0.05,0.0001,1.98,31478,1.46,3.2578125
sim,pacbio,child,chr21,40,raw,20,no_merged,no_downs,0.05,0.01,0.45,100273,37.08,25.9140625
sim,pacbio,child,chr1,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.06,354750,4.78,3.0546875
ashk,pacbio,child,chr21,60,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,1.32,158248,76.42,69.26953125
sim,pacbio,child,chr21,all,raw,N,no_merged,downs_s1_m20,0.05,0.1,0.40,131692,39.2,48.70703125
ashk,pacbio,child,chr1,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.25,481170,317.99,29.0234375
sim,pacbio,child,chr21,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.88,82772,10.59,5.5546875
sim,pacbio,child,chr21,25,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.03,82650,234.96,82.0078125
sim,pacbio,child,chr1,40,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.21,432690,193.96,21.88671875
ashk,pacbio,child,chr1,15,raw,20,no_merged,no_downs,0.05,0.0001,0.95,393738,596.49,83.03515625
sim,pacbio,child,chr21,50,realigned,15,no_merged,no_downs,0.05,0.1,0.44,83790,1.12,2.828125
ashk,pacbio,child,chr21,60,realigned,15,no_merged,no_downs,0.05,0.01,0.56,49770,4.06,4.046875
sim,pacbio,child,chr1,25,raw,15,no_merged,no_downs,0.05,0.1,0.46,488785,9.39,3.48046875
sim,pacbio,child,chr21,20,realigned,N,no_merged,downs_s1_m20,0.05,0.0001,0.02,83340,631.61,181.7109375
ashk,pacbio,child,chr21,50,raw,N,no_merged,downs_s1_m15,0.05,0.01,1.11,92343,6.37,5.45703125
sim,pacbio,child,chr1,30,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.88,555043,12.27,3.8984375
sim,pacbio,child,chr1,all,realigned,20,no_merged,no_downs,0.05,0.01,0.04,441180,156.5,20.0390625
sim,pacbio,child,chr1,50,raw,N,no_merged,downs_s1_m15,0.05,0.01,0.64,447257,26.59,6.50390625
ashk,pacbio,child,chr21,30,raw,N,no_merged,downs_s1_m15,0.05,0.0001,1.07,72806,36.19,12.80859375
ashk,pacbio,child,chr21,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.59,65640,37.31,14.984375
sim,pacbio,child,chr1,15,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.05,302850,131.16,13.96484375
sim,pacbio,child,chr1,all,realigned,15,no_merged,no_downs,0.05,0.0001,0.04,337080,132.12,16.04296875
ashk,pacbio,child,chr1,30,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.24,424440,393.6,42.55078125
sim,pacbio,child,chr21,5,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,3.57,47303,0.31,2.09765625
ashk,pacbio,child,chr21,15,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.54,48300,2.65,3.29296875
ashk,pacbio,child,chr21,all,raw,15,no_merged,no_downs,0.05,0.1,0.71,87378,1.8,3.8984375
ashk,pacbio,child,chr21,60,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.59,65640,37.22,14.984375
ashk,pacbio,child,chr1,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.25,331590,4.42,2.8828125
sim,pacbio,child,chr21,15,realigned,15,no_merged,no_downs,0.05,0.01,0.00,62010,3.67,3.83203125
sim,pacbio,child,chr1,60,realigned,N,no_merged,downs_s1_m20,0.05,0.0001,0.23,480660,4974.0,494.5390625
ashk,pacbio,child,chr1,5,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.65,93480,2.04,2.27734375
sim,pacbio,child,chr1,5,raw,25,no_merged,no_downs,0.05,0.0001,3.50,124719,3.72,6.66015625
ashk,pacbio,child,chr1,all,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.23,461040,596.39,66.7890625
sim,pacbio,child,chr21,30,realigned,15,no_merged,no_downs,0.05,0.001,0.03,61920,11.73,6.95703125
sim,pacbio,child,chr1,5,raw,20,no_merged,no_downs,0.05,0.01,3.59,140007,1.49,4.2109375
sim,pacbio,child,chr1,25,raw,N,no_merged,downs_s1_m15,0.05,0.0001,0.46,356911,159.32,15.16015625
sim,pacbio,child,chr1,5,raw,20,no_merged,no_downs,0.05,0.001,3.48,126286,2.31,3.70703125
ashk,pacbio,child,chr1,50,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,1.50,594681,25.15,6.3671875
ashk,pacbio,child,chr21,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.63,77670,1.28,2.58203125
ashk,pacbio,child,chr1,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,1.97,300936,5.76,4.55859375
sim,pacbio,child,chr21,60,raw,20,no_merged,no_downs,0.05,0.1,0.52,132720,27.92,26.8984375
sim,pacbio,child,chr1,20,realigned,20,no_merged,no_downs,0.05,0.0001,0.05,412890,1360.02,131.79296875
sim,pacbio,child,chr21,25,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.24,112905,46.57,45.44140625
sim,pacbio,child,chr1,20,realigned,N,no_merged,downs_s1_m20,0.05,0.1,0.06,451110,19.2,8.72265625
sim,pacbio,child,chr21,30,raw,20,no_merged,no_downs,0.05,0.1,0.29,133666,35.42,31.70703125
sim,pacbio,child,chr21,10,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.04,40710,3.62,4.23046875
ashk,pacbio,child,chr1,25,raw,N,no_merged,downs_s1_m20,0.05,0.001,0.65,514746,850.12,77.73046875
sim,pacbio,child,chr1,50,realigned,20,no_merged,no_downs,0.05,0.0001,0.21,472590,2137.55,308.4609375
sim,pacbio,child,chr1,15,raw,15,no_merged,no_downs,0.05,0.01,0.61,384970,14.81,4.421875
ashk,pacbio,child,chr21,40,raw,20,no_merged,no_downs,0.05,0.0001,0.66,81360,361.71,134.359375
ashk,pacbio,child,chr21,all,raw,N,no_merged,downs_s1_m15,0.05,0.01,1.07,94991,6.72,5.3984375
ashk,pacbio,child,chr21,5,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.71,23640,0.37,2.08203125
ashk,pacbio,child,chr21,5,realigned,20,no_merged,no_downs,0.05,0.001,0.71,23190,0.76,2.265625
sim,pacbio,child,chr1,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.05,330480,60.43,8.9453125
sim,pacbio,child,chr1,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,2.11,371340,3.52,2.73046875
sim,pacbio,child,chr1,10,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.09,240120,45.1,12.6875
sim,pacbio,child,chr21,5,realigned,25,no_merged,no_downs,0.05,0.1,0.30,35670,0.25,2.0234375
sim,pacbio,child,chr1,20,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.05,416280,207.32,25.61328125
sim,pacbio,child,chr1,5,realigned,15,no_merged,no_downs,0.05,0.0001,0.46,120060,3.27,2.91796875
sim,pacbio,child,chr21,15,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.01,50160,2.78,3.484375
sim,pacbio,child,chr21,10,raw,25,no_merged,no_downs,0.05,0.001,0.53,71729,43.58,40.36328125
sim,pacbio,child,chr21,all,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.03,84270,58.8,22.30859375
sim,pacbio,child,chr1,20,raw,15,no_merged,no_downs,0.05,0.001,0.36,355372,48.91,7.875
ashk,pacbio,child,chr21,20,raw,25,no_merged,no_downs,0.05,0.1,0.78,156003,464.09000000000003,304.171875
ashk,pacbio,child,chr1,5,raw,15,no_merged,no_downs,0.05,0.01,4.55,138678,1.41,2.32421875
sim,pacbio,child,chr1,25,raw,15,no_merged,no_downs,0.05,0.0001,0.31,342377,118.02000000000001,14.2421875
sim,pacbio,child,chr1,5,realigned,20,no_merged,no_downs,0.05,0.0001,0.46,120150,3.77,7.0859375
ashk,pacbio,child,chr1,50,realigned,15,no_merged,no_downs,0.05,0.001,0.25,278430,61.62,13.5546875
ashk,pacbio,child,chr1,25,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.75,541296,419.18,51.48046875
sim,pacbio,child,chr21,50,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.43,65910,53.82,23.1953125
sim,pacbio,child,chr1,60,raw,N,no_merged,downs_s1_m15,0.05,0.01,0.64,447257,26.58,6.5078125
sim,pacbio,child,chr1,50,raw,20,no_merged,no_downs,0.05,0.1,0.41,696970,145.69,47.95703125
sim,pacbio,child,chr1,20,raw,N,no_merged,downs_s1_m15,0.05,0.1,0.71,488879,12.08,4.36328125
sim,pacbio,child,chr21,40,realigned,N,no_merged,downs_s1_m15,0.05,0.001,0.43,68430,22.11,9.828125
sim,pacbio,child,chr21,all,realigned,15,no_merged,no_downs,0.05,0.01,0.03,62730,3.8,3.91015625
sim,pacbio,child,chr21,30,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.42,135667,25.89,28.6953125
sim,pacbio,child,chr21,60,realigned,15,no_merged,no_downs,0.05,0.1,0.44,83790,1.12,2.83203125
ashk,pacbio,child,chr21,15,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.53,65490,125.08,59.38671875
sim,pacbio,child,chr21,all,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.24,120718,26.11,19.6796875
sim,pacbio,child,chr21,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,1.08,74794,3.13,7.72265625
sim,pacbio,child,chr21,20,raw,25,no_merged,no_downs,0.05,0.001,0.13,118366,657.88,544.421875
ashk,pacbio,child,chr21,25,realigned,15,no_merged,no_downs,0.05,0.01,0.54,52500,3.8,4.11328125
ashk,pacbio,child,chr21,30,realigned,20,no_merged,no_downs,0.05,0.1,0.55,78360,3.18,4.0078125
sim,pacbio,child,chr21,25,raw,20,no_merged,no_downs,0.05,0.01,0.17,111349,34.01,25.5234375
ashk,pacbio,child,chr21,60,raw,15,no_merged,no_downs,0.05,0.001,0.66,60527,10.74,6.81640625
ashk,pacbio,child,chr21,15,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,1.87,105824,2.04,3.578125
ashk,pacbio,child,chr1,50,raw,15,no_merged,no_downs,0.05,0.1,0.58,451059,9.25,4.4140625
ashk,pacbio,child,chr1,10,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.31,180600,4.24,2.71484375
sim,pacbio,child,chr1,20,raw,25,no_merged,no_downs,0.05,0.0001,0.33,509132,6709.0,724.6796875
sim,pacbio,child,chr1,25,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.29,463798,1048.37,81.9609375
ashk,pacbio,child,chr21,10,raw,25,no_merged,no_downs,0.05,0.1,2.28,95264,11.07,17.62890625
sim,pacbio,child,chr21,60,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.43,74040,1.75,3.1015625
ashk,pacbio,child,chr1,25,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,1.08,747415,179.0,55.0
sim,pacbio,child,chr21,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.02,66240,79.45,33.82421875
ashk,pacbio,child,chr21,10,realigned,15,no_merged,no_downs,0.05,0.01,0.67,44010,2.17,3.1171875
sim,pacbio,child,chr21,25,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.04,71280,1.5,2.62890625
ashk,pacbio,child,chr1,40,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.24,429990,2466.61,175.48046875
ashk,pacbio,child,chr21,30,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.56,81780,86.7,31.26953125
sim,pacbio,child,chr1,10,raw,15,no_merged,no_downs,0.05,0.01,1.20,306259,7.31,3.10546875
sim,pacbio,child,chr1,50,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.65,435930,57.32,7.96875
ashk,pacbio,child,chr1,30,realigned,N,no_merged,downs_s1_m20,0.05,0.1,0.24,457860,31.32,8.35546875
ashk,pacbio,child,chr1,25,raw,N,no_merged,downs_s1_m20,0.05,0.0001,0.66,490366,2310.72,181.6640625
ashk,pacbio,child,chr1,15,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,1.57,534637,34.66,25.8046875
ashk,pacbio,child,chr21,15,realigned,20,no_merged,no_downs,0.05,0.0001,0.53,62820,195.63,81.50390625
sim,pacbio,child,chr1,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,2.10,374086,5.99,15.01171875
ashk,pacbio,child,chr1,30,raw,N,no_merged,downs_s1_m15,0.05,0.0001,0.86,380970,183.52,18.1328125
ashk,pacbio,child,chr21,40,raw,15,no_merged,no_downs,0.05,0.1,0.78,88347,1.94,2.8671875
sim,pacbio,child,chr21,10,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.05,68700,0.84,2.30859375
ashk,pacbio,child,chr21,15,raw,25,no_merged,no_downs,0.05,0.0001,0.80,91693,823.72,481.625
ashk,pacbio,child,chr21,25,realigned,15,no_merged,no_downs,0.05,0.0001,0.54,52410,26.13,13.2265625
sim,pacbio,child,chr1,50,raw,N,no_merged,downs_s1_m15,0.05,0.0001,0.58,372771,194.79,21.05859375
ashk,pacbio,child,chr1,5,raw,20,no_merged,no_downs,0.05,0.0001,4.46,123439,3.22,3.4375
sim,pacbio,child,chr21,5,raw,25,no_merged,no_downs,0.05,0.0001,1.98,31502,1.52,3.4921875
ashk,pacbio,child,chr1,all,raw,15,no_merged,no_downs,0.05,0.01,0.51,381773,16.58,6.3515625
ashk,pacbio,child,chr1,50,raw,N,no_merged,downs_s1_m15,0.05,0.01,0.90,476461,31.22,6.515625
ashk,pacbio,child,chr1,60,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.23,349440,42.71,9.4453125
sim,pacbio,child,chr21,20,raw,15,no_merged,no_downs,0.05,0.001,0.14,69922,9.64,6.6640625
sim,pacbio,child,chr21,all,realigned,15,no_merged,no_downs,0.05,0.0001,0.03,61860,25.66,12.125
sim,pacbio,child,chr21,40,raw,N,no_merged,downs_s1_m20,0.05,0.0001,0.51,92637,582.21,169.07421875
sim,pacbio,child,chr1,5,raw,N,no_merged,downs_s1_m15,0.05,0.1,4.66,190789,1.72,3.3671875
sim,pacbio,child,chr21,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.56,108549,123.74,64.87890625
ashk,pacbio,child,chr1,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.86,729064,267.75,49.265625
ashk,pacbio,child,chr21,20,realigned,N,no_merged,downs_s1_m20,0.05,0.0001,0.53,76110,608.62,232.99609375
sim,pacbio,child,chr1,50,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.51,584714,325.32,58.74609375
ashk,pacbio,child,chr21,30,raw,15,no_merged,no_downs,0.05,0.1,0.70,91302,1.91,3.0625
sim,pacbio,child,chr21,25,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.03,84270,58.8,22.41015625
ashk,pacbio,child,chr21,50,raw,15,no_merged,no_downs,0.05,0.0001,0.72,57217,25.66,12.15625
ashk,pacbio,child,chr21,20,raw,25,no_merged,no_downs,0.05,0.01,0.69,136160,203.82999999999998,134.53515625
sim,pacbio,child,chr1,40,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.24,358530,33.76,6.96484375
sim,pacbio,child,chr1,5,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,4.93,180248,1.76,2.25390625
sim,pacbio,child,chr21,15,raw,N,no_merged,downs_s1_m15,0.05,0.1,0.57,99584,2.74,4.359375
sim,pacbio,child,chr21,40,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.54,112212,58.93,23.09765625
sim,pacbio,child,chr21,all,realigned,20,no_merged,no_downs,0.05,0.1,0.02,94650,3.31,5.90234375
sim,pacbio,child,chr21,20,raw,15,no_merged,no_downs,0.05,0.0001,0.13,65358,23.72,12.015625
sim,pacbio,child,chr21,10,raw,15,no_merged,no_downs,0.05,0.001,0.59,62069,6.35,5.38671875
sim,pacbio,child,chr1,25,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.62,458910,17.1,4.59765625
ashk,pacbio,child,chr21,15,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.56,52170,77.27,56.96875
ashk,pacbio,child,chr1,20,realigned,N,no_merged,downs_s1_m15,0.05,0.001,0.25,301260,88.0,13.3125
ashk,pacbio,child,chr1,5,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,4.69,129838,1.82,2.30078125
sim,pacbio,child,chr1,5,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,3.70,129114,1.46,2.26953125
ashk,pacbio,child,chr21,5,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.71,23190,0.7,2.26953125
ashk,pacbio,child,chr21,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,1.76,55148,10.93,7.015625
sim,pacbio,child,chr21,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.01,55620,3.33,3.5703125
sim,pacbio,child,chr1,all,raw,N,no_merged,downs_s1_m15,0.05,0.01,0.59,425107,22.62,5.40625
ashk,pacbio,child,chr21,5,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,3.68,27290,0.6,2.17578125
ashk,pacbio,child,chr1,15,raw,20,no_merged,no_downs,0.05,0.1,1.23,558964,60.1,21.140625
ashk,pacbio,child,chr1,60,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.92,696428,925.99,82.71484375
