                      #dataset	raw/realigned	whatshap_downsample	time(sec)	mem(kB)	swerr(%)	
  ashk.pacbio.child.chr1.cov10	          raw	                h15	   795.28	 543792	    1.66	
   sim.pacbio.child.chr1.cov40	          raw	                h15	  2085.92	 882976	    0.36	
   sim.pacbio.child.chr1.cov40	          raw	                h20	 14120.25	7229612	    0.35	
   sim.pacbio.child.chr1.cov40	    realigned	                h15	  2281.98	 882732	    0.36	
   sim.pacbio.child.chr1.cov40	    realigned	                h20	 14072.39	7226668	    0.35	
    sim.pacbio.child.chr1.cov5	          raw	                h15	   255.82	 480736	    3.51	
    sim.pacbio.child.chr1.cov5	          raw	                h20	   238.86	 480668	    3.51	
    sim.pacbio.child.chr1.cov5	    realigned	                h15	   237.01	 480784	    3.51	
    sim.pacbio.child.chr1.cov5	    realigned	                h20	   233.75	 480776	    3.51	
   sim.pacbio.child.chr1.cov50	          raw	                h15	  2494.97	 974536	    0.34	
   sim.pacbio.child.chr1.cov50	          raw	                h20	 14810.81	7499200	    0.33	
   sim.pacbio.child.chr1.cov50	    realigned	                h15	  2691.58	 974584	    0.34	
   sim.pacbio.child.chr1.cov50	    realigned	                h20	 15024.89	7495156	    0.33	
   sim.pacbio.child.chr1.cov60	          raw	                h15	  2763.03	 975132	    0.34	
   sim.pacbio.child.chr1.cov60	          raw	                h20	 14830.29	7498216	    0.33	
   sim.pacbio.child.chr1.cov60	    realigned	                h15	  2786.60	 978676	    0.34	
   sim.pacbio.child.chr1.cov60	    realigned	                h20	 14866.31	7497444	    0.33	
  sim.pacbio.child.chr1.covall	          raw	                h15	  1313.60	 766428	    0.31	
  sim.pacbio.child.chr1.covall	          raw	                h20	 10112.05	5962368	    0.25	
  sim.pacbio.child.chr1.covall	    realigned	                h15	  1340.96	 766536	    0.31	
  sim.pacbio.child.chr1.covall	    realigned	                h20	 10326.08	5963116	    0.25	
  sim.pacbio.child.chr21.cov10	          raw	                h15	   109.53	 156188	    0.56	
  sim.pacbio.child.chr21.cov10	          raw	                h20	   323.56	 702672	    0.57	
  sim.pacbio.child.chr21.cov10	    realigned	                h15	   109.55	 156208	    0.56	
  sim.pacbio.child.chr21.cov10	    realigned	                h20	   324.14	 705832	    0.57	
  sim.pacbio.child.chr21.cov15	          raw	                h15	   173.49	 193976	    0.16	
  sim.pacbio.child.chr21.cov15	          raw	                h20	  1265.23	1810764	    0.12	
  sim.pacbio.child.chr21.cov15	    realigned	                h15	   170.71	 194148	    0.16	
  sim.pacbio.child.chr21.cov15	    realigned	                h20	  1287.10	1812652	    0.12	
  sim.pacbio.child.chr21.cov20	          raw	                h15	   215.28	 211668	    0.20	
  sim.pacbio.child.chr21.cov20	          raw	                h20	  1861.74	2495840	    0.15	
  sim.pacbio.child.chr21.cov20	    realigned	                h15	   223.18	 211728	    0.20	
  sim.pacbio.child.chr21.cov20	    realigned	                h20	  1886.84	2486204	    0.15	
  sim.pacbio.child.chr21.cov25	          raw	                h15	   218.43	 214864	    0.17	
  sim.pacbio.child.chr21.cov25	          raw	                h20	  1867.78	2605800	    0.16	
  sim.pacbio.child.chr21.cov25	    realigned	                h15	   221.18	 214612	    0.17	
  sim.pacbio.child.chr21.cov25	    realigned	                h20	  1887.67	2619116	    0.16	
  sim.pacbio.child.chr21.cov30	          raw	                h15	   214.92	 214688	    0.17	
  sim.pacbio.child.chr21.cov30	          raw	                h20	  1877.02	2608360	    0.16	
  sim.pacbio.child.chr21.cov30	    realigned	                h15	   218.16	 214796	    0.17	
  sim.pacbio.child.chr21.cov30	    realigned	                h20	  1882.91	2627808	    0.16	
  sim.pacbio.child.chr21.cov40	          raw	                h15	   435.87	 246748	    0.49	
  sim.pacbio.child.chr21.cov40	          raw	                h20	  2699.04	3113780	    0.48	
  sim.pacbio.child.chr21.cov40	    realigned	                h15	   406.04	 245844	    0.49	
  sim.pacbio.child.chr21.cov40	    realigned	                h20	  2704.73	3113028	    0.48	
   sim.pacbio.child.chr21.cov5	          raw	                h15	    46.40	 111888	    2.05	
   sim.pacbio.child.chr21.cov5	          raw	                h20	    45.94	 120268	    2.05	
   sim.pacbio.child.chr21.cov5	    realigned	                h15	    46.14	 112192	    2.05	
   sim.pacbio.child.chr21.cov5	    realigned	                h20	    45.32	 120264	    2.05	
  sim.pacbio.child.chr21.cov50	          raw	                h15	   402.32	 247116	    0.46	
  sim.pacbio.child.chr21.cov50	          raw	                h20	  2700.23	3131168	    0.46	
  sim.pacbio.child.chr21.cov50	    realigned	                h15	   433.51	 247808	    0.46	
  sim.pacbio.child.chr21.cov50	    realigned	                h20	  2750.36	3125400	    0.46	
  sim.pacbio.child.chr21.cov60	          raw	                h15	   433.54	 248268	    0.46	
  sim.pacbio.child.chr21.cov60	          raw	                h20	  2703.03	3124596	    0.46	
  sim.pacbio.child.chr21.cov60	    realigned	                h15	   405.38	 247044	    0.46	
  sim.pacbio.child.chr21.cov60	    realigned	                h20	  2704.00	3118088	    0.46	
 sim.pacbio.child.chr21.covall	          raw	                h15	   215.72	 214508	    0.17	
 sim.pacbio.child.chr21.covall	          raw	                h20	  1909.12	2598660	    0.16	
 sim.pacbio.child.chr21.covall	    realigned	                h15	   224.94	 214240	    0.17	
 sim.pacbio.child.chr21.covall	    realigned	                h20	  1874.29	2623232	    0.16	
