                      #dataset	raw/realigned	whatshap_downsample	             merging	random_downsample	epsilon_alpha	time(secs)	mem(kB)	swerr(%)	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     20.84	   6704	    1.68	
   ashk.pacbio.child.chr1.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	      1.66	   2380	    0.65	
   ashk.pacbio.child.chr1.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      1.36	   2332	    0.65	
   ashk.pacbio.child.chr1.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      0.99	   2332	    0.67	
   ashk.pacbio.child.chr1.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      0.67	   2324	    0.89	
   ashk.pacbio.child.chr1.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	      1.73	   2380	    0.65	
   ashk.pacbio.child.chr1.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	      1.34	   2332	    0.65	
   ashk.pacbio.child.chr1.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      0.94	   2336	    0.67	
   ashk.pacbio.child.chr1.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      0.74	   2324	    0.89	
  ashk.pacbio.child.chr1.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    175.02	  19692	    1.10	
  ashk.pacbio.child.chr1.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     70.71	  11268	    1.11	
  ashk.pacbio.child.chr1.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     26.43	   6324	    1.50	
  ashk.pacbio.child.chr1.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	     22.71	   5904	    1.82	
  ashk.pacbio.child.chr1.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   2549.59	 186900	    0.85	
  ashk.pacbio.child.chr1.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    923.74	  84700	    0.92	
  ashk.pacbio.child.chr1.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    334.49	  57640	    1.06	
  ashk.pacbio.child.chr1.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	    458.27	  90576	    1.27	
  ashk.pacbio.child.chr1.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    210.31	  20152	    0.26	
  ashk.pacbio.child.chr1.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     86.76	  11480	    0.26	
  ashk.pacbio.child.chr1.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     27.15	   6164	    0.26	
  ashk.pacbio.child.chr1.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      6.94	   3896	    0.26	
  ashk.pacbio.child.chr1.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   3388.20	 210044	    0.24	
  ashk.pacbio.child.chr1.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	   1220.22	  93580	    0.24	
  ashk.pacbio.child.chr1.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    316.97	  29720	    0.25	
  ashk.pacbio.child.chr1.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     21.47	   7932	    0.26	
 ashk.pacbio.child.chr1.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    175.03	  19692	    1.10	
 ashk.pacbio.child.chr1.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     70.89	  11288	    1.11	
 ashk.pacbio.child.chr1.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     26.42	   6328	    1.50	
 ashk.pacbio.child.chr1.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	     22.60	   5908	    1.82	
 ashk.pacbio.child.chr1.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   2549.49	 186972	    0.85	
 ashk.pacbio.child.chr1.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    923.23	  84456	    0.92	
 ashk.pacbio.child.chr1.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    334.78	  57052	    1.06	
 ashk.pacbio.child.chr1.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	    458.13	  90656	    1.27	
 ashk.pacbio.child.chr1.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    210.36	  20136	    0.26	
 ashk.pacbio.child.chr1.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     85.51	  11636	    0.26	
 ashk.pacbio.child.chr1.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     27.13	   6160	    0.26	
 ashk.pacbio.child.chr1.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      6.83	   3896	    0.26	
 ashk.pacbio.child.chr1.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	   3388.42	 210036	    0.24	
 ashk.pacbio.child.chr1.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	   1219.26	  93452	    0.24	
 ashk.pacbio.child.chr1.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	    317.12	  29720	    0.25	
 ashk.pacbio.child.chr1.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     21.43	   7844	    0.26	
 ashk.pacbio.child.chr21.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	      6.29	   5164	    1.70	
 ashk.pacbio.child.chr21.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      3.10	   3564	    1.78	
 ashk.pacbio.child.chr21.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      1.84	   3588	    2.08	
 ashk.pacbio.child.chr21.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.11	   3432	    2.62	
 ashk.pacbio.child.chr21.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	     10.87	   7184	    1.76	
 ashk.pacbio.child.chr21.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	      4.80	   4104	    1.79	
 ashk.pacbio.child.chr21.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      1.91	   3592	    2.09	
 ashk.pacbio.child.chr21.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      1.68	   3940	    2.55	
 ashk.pacbio.child.chr21.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	      5.51	   4472	    0.67	
 ashk.pacbio.child.chr21.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      2.82	   3468	    0.67	
 ashk.pacbio.child.chr21.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      1.13	   2628	    0.67	
 ashk.pacbio.child.chr21.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      0.36	   2168	    0.70	
 ashk.pacbio.child.chr21.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	      8.82	   7400	    0.67	
 ashk.pacbio.child.chr21.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	      4.11	   4304	    0.67	
 ashk.pacbio.child.chr21.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      1.44	   2688	    0.67	
 ashk.pacbio.child.chr21.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      0.40	   2172	    0.70	
 ashk.pacbio.child.chr21.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     15.46	   9808	    1.09	
 ashk.pacbio.child.chr21.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      6.94	   6080	    1.10	
 ashk.pacbio.child.chr21.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      2.68	   3648	    1.33	
 ashk.pacbio.child.chr21.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.92	   3664	    1.87	
 ashk.pacbio.child.chr21.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	     80.03	  55600	    1.05	
 ashk.pacbio.child.chr21.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     31.38	  24904	    1.08	
 ashk.pacbio.child.chr21.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     11.61	  14468	    1.22	
 ashk.pacbio.child.chr21.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     13.05	  16928	    1.72	
