                                                                         #dataset/params     mec  hapchat
                                ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m20.05_0001  386682   396698
                                 ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m20.05_001  387090   419165
                                  ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m20.05_01  389141   474542
                                   ashk.pacbio.child.chr1.cov15.raw.hN.downs_s1_m20.05_1  392746   559986
          ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  330834   331274
           ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  331193   334168
            ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  332093   349306
             ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  337586   406320
              ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  347023   497209
          ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  356237   357717
           ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  356570   362334
            ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  357503   380060
             ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  361608   439276
              ashk.pacbio.child.chr1.cov15.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  370006   534637
                                     ashk.pacbio.child.chr1.cov15.realigned.h15.05_00001  261420   261420
                                      ashk.pacbio.child.chr1.cov15.realigned.h15.05_0001  261420   261480
                                       ashk.pacbio.child.chr1.cov15.realigned.h15.05_001  261420   261600
                                        ashk.pacbio.child.chr1.cov15.realigned.h15.05_01  261450   263640
                                         ashk.pacbio.child.chr1.cov15.realigned.h15.05_1  261600   302160
                                     ashk.pacbio.child.chr1.cov15.realigned.h20.05_00001  308010   308010
                                      ashk.pacbio.child.chr1.cov15.realigned.h20.05_0001  308010   308040
                                       ashk.pacbio.child.chr1.cov15.realigned.h20.05_001  308010   308280
                                        ashk.pacbio.child.chr1.cov15.realigned.h20.05_01  308040   312180
                                         ashk.pacbio.child.chr1.cov15.realigned.h20.05_1  308070   350520
                         ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m15.05_00001  271800   271800
                          ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m15.05_0001  271800   271800
                           ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m15.05_001  271800   271980
                            ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m15.05_01  271830   274470
                             ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m15.05_1  271920   313470
                         ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m20.05_00001  311550   311550
                          ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m20.05_0001  311550   311580
                           ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m20.05_001  311550   311820
                            ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m20.05_01  311580   314730
                             ashk.pacbio.child.chr1.cov15.realigned.hN.downs_s1_m20.05_1  311610   351240
    ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  239820   239820
     ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  239820   239820
      ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  239820   239820
       ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  239850   243510
        ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  240240   296880
    ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  253200   253200
     ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  253200   253200
      ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  253200   253260
       ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  253230   257010
        ashk.pacbio.child.chr1.cov15.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  253560   310320
                                           ashk.pacbio.child.chr1.cov20.raw.h15.05_00001  333313   334097
                                            ashk.pacbio.child.chr1.cov20.raw.h15.05_0001  333557   338462
                                             ashk.pacbio.child.chr1.cov20.raw.h15.05_001  334245   357267
                                              ashk.pacbio.child.chr1.cov20.raw.h15.05_01  335623   404851
                                               ashk.pacbio.child.chr1.cov20.raw.h15.05_1  337274   477074
                                           ashk.pacbio.child.chr1.cov20.raw.h20.05_00001  436124   440074
                                            ashk.pacbio.child.chr1.cov20.raw.h20.05_0001  436376   447990
                                             ashk.pacbio.child.chr1.cov20.raw.h20.05_001  436793   469687
                                              ashk.pacbio.child.chr1.cov20.raw.h20.05_01  438311   532581
                                               ashk.pacbio.child.chr1.cov20.raw.h20.05_1  439449   635383
                               ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m15.05_00001  358381   358878
                                ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m15.05_0001  358664   363011
                                 ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m15.05_001  359477   379414
                                  ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m15.05_01  361836   432351
                                   ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m15.05_1  365612   505392
                               ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m20.05_00001  452027   455360
                                ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m20.05_0001  452233   463787
                                 ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m20.05_001  452950   486670
                                  ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m20.05_01  454508   554173
                                   ashk.pacbio.child.chr1.cov20.raw.hN.downs_s1_m20.05_1  456124   647870
          ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  380687   381339
           ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  381036   386359
            ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  381720   405486
             ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  389687   475641
              ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  397939   564669
          ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  444675   446928
           ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  445040   454838
            ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  446716   480198
             ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  451410   566743
              ashk.pacbio.child.chr1.cov20.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  454999   652975
                                     ashk.pacbio.child.chr1.cov20.realigned.h15.05_00001  278040   278040
                                      ashk.pacbio.child.chr1.cov20.realigned.h15.05_0001  278040   278130
                                       ashk.pacbio.child.chr1.cov20.realigned.h15.05_001  278040   278640
                                        ashk.pacbio.child.chr1.cov20.realigned.h15.05_01  278040   285150
                                         ashk.pacbio.child.chr1.cov20.realigned.h15.05_1  278040   318540
                                     ashk.pacbio.child.chr1.cov20.realigned.h20.05_00001  357090   357210
                                      ashk.pacbio.child.chr1.cov20.realigned.h20.05_0001  357090   357810
                                       ashk.pacbio.child.chr1.cov20.realigned.h20.05_001  357090   359070
                                        ashk.pacbio.child.chr1.cov20.realigned.h20.05_01  357090   367710
                                         ashk.pacbio.child.chr1.cov20.realigned.h20.05_1  357090   396030
                         ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m15.05_00001  300330   300330
                          ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m15.05_0001  300330   300630
                           ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m15.05_001  300360   301260
                            ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m15.05_01  300360   305880
                             ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m15.05_1  300390   342900
                         ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m20.05_00001  370410   370590
                          ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m20.05_0001  370410   370680
                           ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m20.05_001  370410   371400
                            ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m20.05_01  370440   377880
                             ashk.pacbio.child.chr1.cov20.realigned.hN.downs_s1_m20.05_1  370680   413400
    ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  280140   280140
     ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  280170   280170
      ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  280260   280560
       ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  280260   283170
        ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  280470   331590
    ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  316710   316710
     ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  316710   316740
      ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  316710   317010
       ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  316710   320820
        ashk.pacbio.child.chr1.cov20.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  317010   365760
                                           ashk.pacbio.child.chr1.cov25.raw.h15.05_00001  329645   330455
                                            ashk.pacbio.child.chr1.cov25.raw.h15.05_0001  329855   334809
                                             ashk.pacbio.child.chr1.cov25.raw.h15.05_001  330370   351814
                                              ashk.pacbio.child.chr1.cov25.raw.h15.05_01  332248   403483
                                               ashk.pacbio.child.chr1.cov25.raw.h15.05_1  332702   475690
                                           ashk.pacbio.child.chr1.cov25.raw.h20.05_00001  450774   455737
                                            ashk.pacbio.child.chr1.cov25.raw.h20.05_0001  450929   464175
                                             ashk.pacbio.child.chr1.cov25.raw.h20.05_001  451504   483151
                                              ashk.pacbio.child.chr1.cov25.raw.h20.05_01  452585   542407
                                               ashk.pacbio.child.chr1.cov25.raw.h20.05_1  453923   666701
                               ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m15.05_00001  368025   368562
                                ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m15.05_0001  368168   372317
                                 ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m15.05_001  368832   389199
                                  ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m15.05_01  371777   441999
                                   ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m15.05_1  374805   521207
                               ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m20.05_00001  478993   482896
                                ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m20.05_0001  479299   490366
                                 ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m20.05_001  480528   514746
                                  ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m20.05_01  482277   579339
                                   ashk.pacbio.child.chr1.cov25.raw.hN.downs_s1_m20.05_1  483543   692978
          ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  405393   406274
           ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  405973   410863
            ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  407026   433295
             ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  416049   512962
              ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  427218   613647
          ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  500903   505388
           ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  501041   512246
            ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  502868   541296
             ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  508568   639010
              ashk.pacbio.child.chr1.cov25.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  515503   747415
                                     ashk.pacbio.child.chr1.cov25.realigned.h15.05_00001  280680   280680
                                      ashk.pacbio.child.chr1.cov25.realigned.h15.05_0001  280680   280800
                                       ashk.pacbio.child.chr1.cov25.realigned.h15.05_001  280710   281910
                                        ashk.pacbio.child.chr1.cov25.realigned.h15.05_01  280740   285810
                                         ashk.pacbio.child.chr1.cov25.realigned.h15.05_1  280830   312690
                                     ashk.pacbio.child.chr1.cov25.realigned.h20.05_00001  374640   374970
                                      ashk.pacbio.child.chr1.cov25.realigned.h20.05_0001  374640   375120
                                       ashk.pacbio.child.chr1.cov25.realigned.h20.05_001  374670   376710
                                        ashk.pacbio.child.chr1.cov25.realigned.h20.05_01  374670   382320
                                         ashk.pacbio.child.chr1.cov25.realigned.h20.05_1  374670   412110
                         ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m15.05_00001  314700   314700
                          ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m15.05_0001  314700   314700
                           ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m15.05_001  314700   314940
                            ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m15.05_01  314700   317760
                             ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m15.05_1  315150   354360
                         ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m20.05_00001  401850   401970
                          ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m20.05_0001  401850   402330
                           ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m20.05_001  401850   403650
                            ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m20.05_01  401850   409650
                             ashk.pacbio.child.chr1.cov25.realigned.hN.downs_s1_m20.05_1  401970   444180
    ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  303690   303690
     ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  303690   303720
      ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  303690   304260
       ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  303690   309420
        ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  304920   352680
    ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  359430   359430
     ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  359430   359460
      ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  359430   360150
       ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  359430   365040
        ashk.pacbio.child.chr1.cov25.realigned.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  359880   414840
                                           ashk.pacbio.child.chr1.cov30.raw.h15.05_00001  323424   324180
                                            ashk.pacbio.child.chr1.cov30.raw.h15.05_0001  323514   328522
                                             ashk.pacbio.child.chr1.cov30.raw.h15.05_001  323806   346206
                                              ashk.pacbio.child.chr1.cov30.raw.h15.05_01  325275   393424
                                               ashk.pacbio.child.chr1.cov30.raw.h15.05_1  325873   464503
                                           ashk.pacbio.child.chr1.cov30.raw.h20.05_00001  446726   451636
                                            ashk.pacbio.child.chr1.cov30.raw.h20.05_0001  446826   458836
                                             ashk.pacbio.child.chr1.cov30.raw.h20.05_001  447186   480278
                                              ashk.pacbio.child.chr1.cov30.raw.h20.05_01  447713   537580
                                               ashk.pacbio.child.chr1.cov30.raw.h20.05_1  448890   663092
                               ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m15.05_00001  376440   376985
                                ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m15.05_0001  376574   380970
                                 ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m15.05_001  377731   400741
                                  ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m15.05_01  380913   451662
                                   ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m15.05_1  384125   526527
                               ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m20.05_00001  498658   503234
                                ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m20.05_0001  498873   510592
                                 ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m20.05_001  499943   537518
                                  ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m20.05_01  501198   597218
                                   ashk.pacbio.child.chr1.cov30.raw.hN.downs_s1_m20.05_1  502375   714093
          ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_00001  426995   427838
           ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_0001  427482   432752
            ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_001  428154   454018
             ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_01  436293   531238
              ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m15.05_1  445856   634439
          ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_00001  539173   543219
           ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_0001  539993   552854
            ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_001  541701   585153
             ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_01  544802   671617
              ashk.pacbio.child.chr1.cov30.raw.hN.merged_e15_m25_t6_n3.downs_s1_m20.05_1  551495   792323
                                     ashk.pacbio.child.chr1.cov30.realigned.h15.05_00001  278700   278700
                                      ashk.pacbio.child.chr1.cov30.realigned.h15.05_0001  278700   278700
                                       ashk.pacbio.child.chr1.cov30.realigned.h15.05_001  278700   279390
                                        ashk.pacbio.child.chr1.cov30.realigned.h15.05_01  278700   282480
                                         ashk.pacbio.child.chr1.cov30.realigned.h15.05_1  278700   309600
                                     ashk.pacbio.child.chr1.cov30.realigned.h20.05_00001  377850   377850
                                      ashk.pacbio.child.chr1.cov30.realigned.h20.05_0001  377850   378600
                                       ashk.pacbio.child.chr1.cov30.realigned.h20.05_001  377850   380400
                                        ashk.pacbio.child.chr1.cov30.realigned.h20.05_01  377850   386520
                                         ashk.pacbio.child.chr1.cov30.realigned.h20.05_1  377850   417900
                         ashk.pacbio.child.chr1.cov30.realigned.hN.downs_s1_m15.05_00001  319890   319890
                          ashk.pacbio.child.chr1.cov30.realigned.hN.downs_s1_m15.05_0001  319920   319980
                           ashk.pacbio.child.chr1.cov30.realigned.hN.downs_s1_m15.05_001  319890   320340
                            ashk.pacbio.child.chr1.cov30.realigned.hN.downs_s1_m15.05_01  319950   325260
                             ashk.pacbio.child.chr1.cov30.realigned.hN.downs_s1_m15.05_1  320250   351660
                         ashk.pacbio.child.chr1.cov30.realigned.hN.downs_s1_m20.05_00001  418980   418980
                          ashk.pacbio.child.chr1.cov30.realigned.hN.downs_s1_m20.05_0001  418980   419340
