Tool,Data,Technology,Individual,Chr,MeanCov,RawRealigned,WhDowns,WhDownsTimeSec,Merge,MergeE,MergeM,MergeT,MergeN,MergeTimeSec,MergeMaxMemMB,RndDowns,RndDownsSeed,RndDownsMaxCov,RndDownsTimeSec,RndDownsMaxMemMB,FurtherMerging,Epsilon,Alpha,BalThr,BalRatio,SwErrRatePerc,HamDistPerc,MecScore,PhasTimeSec,PhasMaxMemMB,CleanFinish,FeasibleSoln
HapChat,sim,pacbio,child,chr1,35,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,77.28999999999999,1984.39453125,yes,1,20,15.53,148.16015625,no,0.05,0.001,N,0,0.02609,0.12001,412620,532.61,67.92578125,yes,yes
HapChat,ashk,pacbio,child,chr1,30,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,68.8,1660.8828125,yes,1,25,10.79,140.0859375,no,0.05,0.1,N,0,0.24668,1.35765,430260,36.86,14.98828125,yes,yes
HapChat,sim,pacbio,child,chr1,55,realigned,25,115.0,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.02169,0.27769,587010,1054.23,189.08984375,yes,yes
HapChat,ashk,pacbio,child,chr1,30,realigned,20,61.8,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.24667,1.35551,379530,16.41,8.44140625,yes,yes
HapChat,ashk,pacbio,child,chr21,30,realigned,25,10.2,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.39604,1.19706,88530,224.71,113.3828125,yes,yes
HapChat,ashk,pacbio,child,chr21,30,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,3.56,33.73046875,no,0.05,0.1,N,0,0.38457,1.18604,88680,23.02,46.0859375,yes,yes
HapChat,sim,pacbio,child,chr1,30,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,68.68,1667.33984375,yes,1,20,14.25,121.95703125,no,0.05,0.001,N,0,0.02612,0.32435,395190,458.49,53.96484375,yes,yes
HapChat,sim,pacbio,child,chr21,30,realigned,25,11.2,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.02326,0.58717,104130,1035.21,460.6171875,yes,yes
HapChat,sim,pacbio,child,chr21,45,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,5.65,48.28125,no,0.05,0.1,N,0,0.05810,0.16930,105810,22.52,19.0234375,yes,yes
HapChat,ashk,pacbio,child,chr21,25,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,11.93,307.94921875,yes,1,25,1.95,26.9375,no,0.05,0.1,N,0,0.40802,1.20849,74700,6.04,8.46484375,yes,yes
HapChat,sim,pacbio,child,chr21,25,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,11.99,329.35546875,yes,1,25,2.76,27.328125,no,0.05,0.1,N,0,0.03492,0.59867,77670,6.19,9.32421875,yes,yes
HapChat,ashk,pacbio,child,chr21,30,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,13.63,369.26171875,yes,1,15,3.19,28.51171875,no,0.05,0.001,N,0,0.39627,1.19733,53820,9.88,6.44921875,yes,yes
HapChat,ashk,pacbio,child,chr1,15,realigned,25,34.2,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.27042,1.44560,315330,200.24,42.4609375,yes,yes
HapChat,ashk,pacbio,child,chr1,25,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,52.71,1370.38671875,yes,1,20,14.15,113.1015625,no,0.05,0.01,N,0,0.25144,1.44062,354630,82.7,14.8828125,yes,yes
HapChat,sim,pacbio,child,chr1,55,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,156.17000000000002,3591.31640625,yes,1,15,19.15,181.6171875,no,0.05,0.001,N,0,0.02605,0.28827,303780,50.65,10.47265625,yes,yes
HapChat,sim,pacbio,child,chr21,15,realigned,25,4.5,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.03502,0.61038,81600,7.53,7.5,yes,yes
HapChat,sim,pacbio,child,chr1,25,realigned,20,53.1,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.04578,0.55436,439800,15.02,5.0859375,yes,yes
HapChat,sim,pacbio,child,chr1,40,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,24.58,190.73046875,no,0.05,0.1,N,0,0.02608,0.38735,568830,113.11,51.55859375,yes,yes
HapChat,ashk,pacbio,child,chr21,15,realigned,15,3.0,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.39761,1.78652,51150,1.29,2.609375,yes,yes
HapChat,sim,pacbio,child,chr1,20,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,11.06,116.08203125,no,0.05,0.001,N,0,0.05243,0.33108,463680,2740.31,349.015625,yes,yes
HapChat,sim,pacbio,child,chr1,35,realigned,25,84.1,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.02826,0.26948,569370,5048.0,689.71484375,yes,yes
HapChat,ashk,pacbio,child,chr1,60,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,20,36.46,283.87109375,no,0.05,0.1,N,0,0.24577,1.44003,375570,18.62,9.00390625,yes,yes
HapChat,ashk,pacbio,child,chr1,15,realigned,25,34.2,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.28799,1.68220,315780,19.74,7.60546875,yes,yes
HapChat,ashk,pacbio,child,chr21,15,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,6.14,196.1015625,yes,1,30,2.02,21.04296875,no,0.05,0.01,N,0,0.40931,1.56038,52860,11.93,13.24609375,yes,yes
HapChat,ashk,pacbio,child,chr21,40,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,21.73,522.67578125,yes,1,25,2.87,31.77734375,no,0.05,0.01,N,0,0.41875,1.58049,91200,133.28,71.21875,yes,yes
HapChat,ashk,pacbio,child,chr21,50,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,6.29,49.05078125,no,0.05,0.1,N,0,0.41919,1.93155,48870,1.46,2.62890625,yes,yes
HapChat,sim,pacbio,child,chr21,50,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,28.23,756.28125,yes,1,15,3.18,39.5,no,0.05,0.01,N,0,0.04643,0.15796,51420,3.27,3.609375,yes,yes
HapChat,ashk,pacbio,child,chr1,30,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,17.23,162.296875,no,0.05,0.1,N,0,0.24017,1.32392,473490,107.35,37.2265625,yes,yes
HapChat,sim,pacbio,child,chr21,30,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,30,4.46,39.40234375,no,0.05,0.1,N,0,0.02327,0.58717,122820,211.54,901.83203125,yes,yes
HapChat,ashk,pacbio,child,chr1,45,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,105.53999999999999,2635.8203125,yes,1,25,18.39,166.578125,no,0.05,0.001,N,0,0.24597,1.38795,518100,3343.29,332.3984375,yes,yes
HapChat,ashk,pacbio,child,chr1,60,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,155.29,3967.71875,yes,1,20,22.54,190.90625,no,0.05,0.01,N,0,0.25206,1.51974,442980,166.41,19.9140625,yes,yes
HapChat,ashk,pacbio,child,chr1,15,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,30.48,776.28515625,yes,1,25,6.76,93.703125,no,0.05,0.001,N,0,0.28141,1.46459,248730,100.12,36.828125,yes,yes
HapChat,ashk,pacbio,child,chr1,55,realigned,30,150.7,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.24121,1.51770,573330,9762.0,839.6015625,yes,yes
HapChat,ashk,pacbio,child,chr1,25,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,52.71,1370.38671875,yes,1,25,14.36,113.046875,no,0.05,0.01,N,0,0.25141,1.44059,377280,237.52,64.8046875,yes,yes
HapChat,sim,pacbio,child,chr1,15,realigned,15,30.5,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.06795,0.52773,303210,16.86,4.65234375,yes,yes
HapChat,sim,pacbio,child,chr21,20,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,30,2.6,28.890625,no,0.05,0.1,N,0,0.02330,0.58750,107010,103.71000000000001,450.546875,yes,yes
HapChat,sim,pacbio,child,chr21,35,realigned,15,8.5,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.01,N,0,0.02325,0.09031,62760,3.98,4.6015625,yes,yes
HapChat,sim,pacbio,child,chr1,25,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,20,14.08,148.01953125,no,0.05,0.001,N,0,0.03489,0.35412,438930,781.64,87.69921875,yes,yes
HapChat,ashk,pacbio,child,chr21,35,realigned,30,12.7,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.43058,1.43389,104940,169.6,541.70703125,yes,yes
HapChat,sim,pacbio,child,chr1,15,realigned,20,34.0,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.001,N,0,0.06576,0.52350,347190,267.42,33.95703125,yes,yes
HapChat,sim,pacbio,child,chr1,15,realigned,20,34.0,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.06795,0.81061,347430,10.38,7.02734375,yes,yes
HapChat,ashk,pacbio,child,chr21,30,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,13.63,369.26171875,yes,1,25,2.67,28.46484375,no,0.05,0.1,N,0,0.39604,1.19706,81720,8.35,9.01953125,yes,yes
HapChat,sim,pacbio,child,chr21,40,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,20.43,573.71875,yes,1,30,3.6,32.0,no,0.05,0.1,N,0,0.03484,0.10158,100140,44.05,38.1015625,yes,yes
HapChat,sim,pacbio,child,chr1,25,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,53.97,1377.99609375,yes,1,15,13.18,112.73046875,no,0.05,0.1,N,0,0.04361,0.55648,306480,6.39,3.390625,yes,yes
HapChat,ashk,pacbio,child,chr1,30,realigned,N,NA,yes,0.15,0.25,1e+6,1e+3,68.8,1660.8828125,yes,1,20,11.22,140.19921875,no,0.05,0.1,N,0,0.24889,1.46095,387960,12.08,4.69921875,yes,yes
HapChat,sim,pacbio,child,chr1,40,realigned,20,87.6,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,0.05,0.1,N,0,0.02607,0.25682,463350,15.05,6.17578125,yes,yes
HapChat,sim,pacbio,child,chr21,20,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,15,2.89,28.94921875,no,0.05,0.1,N,0,0.02332,0.58750,62010,1.71,2.625,yes,yes
HapChat,sim,pacbio,child,chr1,35,realigned,N,NA,no,NA,NA,NA,NA,NA,NA,yes,1,25,19.08,176.86328125,no,0.05,0.01,N,0,0.02827,0.26950,563670,1343.59,249.96484375,yes,yes
