                #dataset	m_sw[%]	m_ham[%]	r_sw[%]	r_ham[%]	wh_sw[%]	wh_ham[%]	
ashk.chr21.cov25.rea.m20	   0.52	    1.27	   0.52	    1.27	    0.54	     1.37	
ashk.chr21.cov30.raw.m15	   0.79	    2.01	   0.79	    2.01	    0.76	     2.17	
ashk.chr21.cov30.raw.m20	   0.75	    2.29	   0.69	    2.00	    0.70	     2.04	
ashk.chr21.cov30.rea.m15	   0.55	    1.41	   0.58	    1.43	    0.56	     1.43	
ashk.chr21.cov30.rea.m20	   0.56	    1.42	   0.55	    1.32	    0.56	     1.43	
ashk.chr21.cov40.raw.m15	   0.77	    2.90	   0.71	    2.85	    0.79	     1.87	
ashk.chr21.cov40.raw.m20	   0.78	    2.00	   0.69	    2.17	    0.74	     1.94	
ashk.chr21.cov40.rea.m15	   0.54	    1.32	   0.54	    1.32	    0.53	     1.33	
ashk.chr21.cov40.rea.m20	   0.54	    1.32	   0.55	    1.42	    0.53	     1.33	
ashk.chr21.cov50.raw.m15	   0.78	    2.19	   0.70	    2.17	    0.75	     2.20	
ashk.chr21.cov50.raw.m20	   0.76	    3.26	   0.72	    2.13	    0.67	     2.13	
ashk.chr21.cov50.rea.m15	   0.55	    1.60	   0.55	    1.60	    0.55	     1.61	
ashk.chr21.cov50.rea.m20	   0.55	    1.60	   0.55	    1.60	    0.56	     1.33	
ashk.chr21.cov60.raw.m15	   0.73	    2.19	   0.69	    1.69	    0.80	     2.02	
ashk.chr21.cov60.raw.m20	   0.72	    1.93	   0.69	    1.70	    0.64	     1.69	
ashk.chr21.cov60.rea.m15	   0.55	    1.60	   0.55	    1.60	    0.55	     1.61	
ashk.chr21.cov60.rea.m20	   0.55	    1.60	   0.55	    1.60	    0.57	     1.34	
  sim.chr1.cov15.raw.m15	   0.50	    1.96	   0.46	    1.95	    0.48	     1.84	
  sim.chr1.cov15.raw.m20	   0.49	    2.17	   0.46	    2.15	    0.47	     1.82	
  sim.chr1.cov15.rea.m15	   0.06	    0.47	   0.05	    0.40	    0.07	     0.69	
  sim.chr1.cov15.rea.m20	   0.05	    0.40	   0.05	    0.40	    0.07	     0.71	
  sim.chr1.cov20.raw.m15	   0.40	    1.90	   0.36	    1.89	    0.39	     1.86	
  sim.chr1.cov20.raw.m20	   0.35	    1.80	   0.32	    1.75	    0.35	     2.13	
  sim.chr1.cov20.rea.m15	   0.06	    0.56	   0.05	    0.38	    0.06	     0.64	
  sim.chr1.cov20.rea.m20	   0.05	    0.53	   0.05	    0.53	    0.06	     0.63	
  sim.chr1.cov25.raw.m15	   0.29	    1.83	   0.28	    1.81	    0.31	     1.90	
  sim.chr1.cov25.raw.m20	   0.26	    1.74	   0.26	    1.79	    0.25	     1.89	
  sim.chr1.cov25.rea.m15	   0.04	    0.25	   0.04	    0.31	    0.05	     0.52	
  sim.chr1.cov25.rea.m20	   0.04	    0.39	   0.04	    0.45	    0.05	     0.53	
  sim.chr1.cov30.raw.m15	   0.29	    1.83	   0.28	    1.81	    0.31	     1.90	
  sim.chr1.cov30.raw.m20	   0.26	    1.74	   0.26	    1.79	    0.25	     1.89	
  sim.chr1.cov30.rea.m15	   0.04	    0.25	   0.04	    0.31	    0.05	     0.52	
  sim.chr1.cov30.rea.m20	   0.04	    0.39	   0.04	    0.45	    0.05	     0.53	
  sim.chr1.cov40.raw.m15	   0.40	    2.13	   0.37	    2.18	    0.36	     3.00	
  sim.chr1.cov40.raw.m20	   0.34	    2.53	   0.33	    2.56	    0.35	     2.91	
  sim.chr1.cov40.rea.m15	   0.22	    1.47	   0.21	    1.20	    0.22	     1.51	
  sim.chr1.cov40.rea.m20	   0.21	    1.26	   0.21	    1.25	    0.22	     1.59	
  sim.chr1.cov50.raw.m15	   0.37	    2.21	   0.35	    2.12	    0.34	     2.30	
  sim.chr1.cov50.raw.m20	   0.35	    2.30	   0.34	    2.28	    0.33	     2.34	
  sim.chr1.cov50.rea.m15	   0.21	    1.16	   0.21	    1.26	    0.22	     1.44	
  sim.chr1.cov50.rea.m20	   0.21	    1.28	   0.21	    1.26	    0.23	     1.58	
  sim.chr1.cov60.raw.m15	   0.37	    2.21	   0.35	    2.12	    0.34	     2.30	
  sim.chr1.cov60.raw.m20	   0.35	    2.30	   0.34	    2.28	    0.33	     2.34	
  sim.chr1.cov60.rea.m15	   0.21	    1.16	   0.21	    1.26	    0.22	     1.44	
  sim.chr1.cov60.rea.m20	   0.21	    1.28	   0.21	    1.26	    0.23	     1.58	
 sim.chr21.cov15.raw.m15	   0.20	    1.60	   0.18	    1.59	    0.16	     1.59	
 sim.chr21.cov15.raw.m20	   0.16	    1.48	   0.14	    1.47	    0.12	     1.46	
 sim.chr21.cov15.rea.m15	   0.00	    0.00	   0.00	    0.00	    0.00	     0.00	
 sim.chr21.cov15.rea.m20	   0.00	    0.00	   0.00	    0.00	    0.00	     0.00	
 sim.chr21.cov20.raw.m15	   0.20	    1.25	   0.18	    1.24	    0.20	     1.20	
 sim.chr21.cov20.raw.m20	   0.13	    1.22	   0.12	    1.34	    0.15	     1.16	
 sim.chr21.cov20.rea.m15	   0.04	    0.07	   0.04	    0.07	    0.01	     0.01	
 sim.chr21.cov20.rea.m20	   0.02	    0.06	   0.02	    0.06	    0.02	     0.06	
 sim.chr21.cov25.raw.m15	   0.21	    1.27	   0.19	    1.22	    0.17	     1.19	
 sim.chr21.cov25.raw.m20	   0.13	    1.22	   0.12	    1.34	    0.16	     1.17	
 sim.chr21.cov25.rea.m15	   0.03	    0.07	   0.03	    0.07	    0.01	     0.01	
 sim.chr21.cov25.rea.m20	   0.02	    0.06	   0.02	    0.06	    0.02	     0.06	
 sim.chr21.cov30.raw.m15	   0.21	    1.27	   0.19	    1.22	    0.17	     1.19	
 sim.chr21.cov30.raw.m20	   0.13	    1.22	   0.12	    1.34	    0.16	     1.17	
 sim.chr21.cov30.rea.m15	   0.03	    0.07	   0.03	    0.07	    0.01	     0.01	
 sim.chr21.cov30.rea.m20	   0.02	    0.06	   0.02	    0.06	    0.02	     0.06	
 sim.chr21.cov40.raw.m15	   0.48	    2.56	   0.49	    2.44	    0.49	     1.48	
 sim.chr21.cov40.raw.m20	   0.48	    1.48	   0.47	    1.49	    0.48	     1.44	
 sim.chr21.cov40.rea.m15	   0.42	    1.19	   0.43	    1.22	    0.43	     1.23	
 sim.chr21.cov40.rea.m20	   0.42	    1.20	   0.42	    1.20	    0.42	     1.20	
 sim.chr21.cov50.raw.m15	   0.50	    2.58	   0.48	    2.43	    0.46	     1.43	
 sim.chr21.cov50.raw.m20	   0.49	    1.49	   0.45	    1.48	    0.46	     1.43	
 sim.chr21.cov50.rea.m15	   0.43	    1.22	   0.42	    1.20	    0.43	     1.23	
 sim.chr21.cov50.rea.m20	   0.42	    1.20	   0.42	    1.20	    0.42	     1.20	
 sim.chr21.cov60.raw.m15	   0.50	    2.58	   0.48	    2.43	    0.46	     1.43	
 sim.chr21.cov60.raw.m20	   0.49	    1.49	   0.45	    1.48	    0.46	     1.43	
 sim.chr21.cov60.rea.m15	   0.43	    1.22	   0.42	    1.20	    0.43	     1.23	
 sim.chr21.cov60.rea.m20	   0.42	    1.20	   0.42	    1.20	    0.42	     1.20	
